Asignatura1,Asignatura2,Asignatura3,Region
2.2,7,7,Colombia
6.1,4,7,Argentina
3.4,3,4,Brazil
5.9,4,6,Argentina
3.1,7,7,Brazil
1.1,3,2,Peru
2.8,1,5,Colombia
5.9,5,6,Brazil
5.7,6,4,Argentina
3.6,5,4,Brazil
3.7,6,4,Argentina
1.2,1,2,Peru
5.1,7,1,Brazil
5.4,1,1,Argentina
2.3,2,1,Peru
4.8,7,3,Peru
6.6,6,3,Argentina
2.9,1,4,Brazil
3.4,4,1,Argentina
5.7,2,6,Peru
2.7,6,1,Brazil
3.1,7,3,Paraguay
1.8,7,4,Brazil
2.3,4,4,Uruguay
6.9,6,4,Peru
2.7,1,6,Colombia
4.3,3,5,Brazil
1.5,1,5,Brazil
3.5,1,6,Brazil
4.1,1,6,Peru
5.8,2,2,Brazil
3.0,6,4,Brazil
4.2,5,3,Venezuela
1.7,6,7,Venezuela
3.0,2,2,Argentina
6.6,6,6,Brazil
5.6,1,1,Brazil
6.5,3,1,Brazil
1.5,6,1,Brazil
5.6,4,6,Brazil
1.7,2,7,Brazil
6.4,3,6,Argentina
3.3,5,1,Brazil
3.2,6,2,Brazil
6.7,1,1,Argentina
2.2,2,5,Brazil
3.2,2,1,Brazil
2.5,1,7,Brazil
2.1,1,7,Brazil
3.0,3,4,Peru
3.4,5,3,Brazil
2.8,2,3,Argentina
1.0,3,4,Argentina
3.0,6,7,Colombia
3.0,7,4,Brazil
3.3,2,2,Brazil
6.0,3,2,Brazil
1.1,4,7,Brazil
2.1,1,7,Brazil
6.7,2,6,Colombia
6.6,3,6,Argentina
4.4,5,7,Brazil
3.7,4,2,Brazil
2.4,1,4,Brazil
5.7,4,6,Argentina
5.8,1,6,Brazil
3.8,3,3,Chile
4.4,2,6,Argentina
3.7,3,3,Brazil
2.1,7,5,Brazil
5.0,4,1,Argentina
6.4,2,1,Uruguay
5.6,5,1,Argentina
6.0,5,6,Brazil
3.6,4,7,Brazil
5.7,2,5,Peru
5.8,3,5,Peru
6.2,3,2,Argentina
4.1,6,4,Peru
3.8,6,7,Peru
3.3,2,2,Brazil
4.5,1,4,Peru
3.6,2,4,Argentina
5.0,3,6,Brazil
5.0,3,1,Brazil
3.0,3,4,Ecuador
6.8,3,5,Peru
4.2,1,1,Peru
5.7,7,4,Brazil
1.2,5,3,Chile
5.4,5,1,Brazil
6.0,7,2,Brazil
4.6,7,5,Colombia
4.6,2,2,Argentina
3.4,5,5,Colombia
1.4,7,4,Brazil
6.1,5,5,Colombia
2.8,6,4,Chile
5.7,2,6,Brazil
6.4,3,1,Peru
3.6,7,1,Colombia
6.1,1,4,Colombia
5.2,2,7,Colombia
2.9,4,3,Brazil
2.6,6,5,Bolivia
1.3,3,1,Brazil
6.3,2,6,Brazil
3.6,1,7,Argentina
2.3,4,2,Argentina
2.6,1,7,Brazil
3.4,4,1,Brazil
6.6,3,6,Brazil
2.9,5,4,Colombia
1.1,5,2,Argentina
1.9,1,5,Colombia
2.7,7,5,Colombia
2.4,7,1,Brazil
4.6,4,3,Brazil
6.1,7,6,Colombia
3.1,7,4,Brazil
6.8,2,2,Argentina
5.0,2,7,Colombia
2.2,2,2,Brazil
3.3,7,1,Peru
1.9,3,2,Brazil
6.7,7,6,Colombia
4.8,4,1,Colombia
6.4,5,6,Bolivia
3.6,4,3,Brazil
5.9,3,3,Brazil
4.3,6,1,Brazil
4.4,1,7,Brazil
2.4,7,2,Brazil
4.1,4,2,Brazil
1.2,4,2,Brazil
1.9,1,5,Uruguay
5.8,7,3,Peru
4.6,5,4,Peru
3.5,5,3,Peru
4.1,5,5,Peru
6.0,4,3,Brazil
1.9,7,6,Argentina
6.9,5,6,Paraguay
3.1,4,1,Venezuela
6.3,2,6,Brazil
7.0,7,2,Brazil
2.5,4,3,Argentina
5.1,3,1,Brazil
7.0,5,5,Brazil
7.0,6,4,Brazil
1.4,1,7,Peru
3.9,5,1,Brazil
1.8,4,4,Argentina
1.4,1,4,Chile
2.2,2,4,Argentina
5.8,4,3,Brazil
2.3,6,1,Brazil
3.1,6,1,Venezuela
4.9,2,4,Brazil
3.1,1,1,Brazil
5.7,6,7,Brazil
2.9,2,3,Argentina
2.9,1,4,Peru
1.1,1,4,Peru
5.1,2,2,Uruguay
1.2,7,3,Argentina
4.6,3,5,Brazil
6.2,3,4,Brazil
1.2,3,1,Brazil
3.1,1,6,Brazil
1.6,3,6,Chile
6.9,7,1,Brazil
2.3,4,3,Brazil
4.9,2,2,Brazil
5.6,1,2,Colombia
1.1,1,4,Brazil
5.5,6,1,Brazil
4.7,4,3,Argentina
1.5,6,2,Brazil
3.6,2,7,Brazil
